datetime,portfolio_value,cash,positions,return
2023-01-03 08:30:00-05:00,100000.0,100000.0,[],
2023-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-01-04 09:30:00-05:00,99988.09997558594,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.00011900024414057686
2023-01-05 09:30:00-05:00,99973.50006103516,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.0001460165215094733
2023-01-06 09:30:00-05:00,99982.39990234375,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",8.902200386251558e-05
2023-01-07 09:30:00-05:00,99982.39990234375,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-08 09:30:00-05:00,99982.39990234375,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-09 09:30:00-05:00,100060.0,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0007761375775341417
2023-01-10 09:30:00-05:00,100028.80004882812,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.00031181242426414624
2023-01-11 09:30:00-05:00,100078.6001586914,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0004978577153675889
2023-01-12 09:30:00-05:00,100123.00018310547,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.00044365153333147944
2023-01-13 09:30:00-05:00,100092.5,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.0003046271391158317
2023-01-14 09:30:00-05:00,100092.5,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-15 09:30:00-05:00,100092.5,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-16 09:30:00-05:00,100092.5,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-17 09:30:00-05:00,100141.1001586914,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0004855524508968756
2023-01-18 09:30:00-05:00,100146.40014648438,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",5.2925200388020954e-05
2023-01-19 09:30:00-05:00,100049.89990234375,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.0009635917416849216
2023-01-20 09:30:00-05:00,100057.30010986328,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",7.396516664948116e-05
2023-01-21 09:30:00-05:00,100057.30010986328,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-22 09:30:00-05:00,100057.30010986328,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-23 09:30:00-05:00,100123.50006103516,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0006616204025011729
2023-01-24 09:30:00-05:00,100145.10009765625,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0002157339346700038
2023-01-25 09:30:00-05:00,100115.80017089844,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.00029257474134269934
2023-01-26 09:30:00-05:00,100187.60009765625,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.000717168784899691
2023-01-27 09:30:00-05:00,100192.90008544922,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",5.290063628438091e-05
2023-01-28 09:30:00-05:00,100192.90008544922,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-29 09:30:00-05:00,100192.90008544922,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-01-30 09:30:00-05:00,100184.29992675781,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-8.58360091789967e-05
2023-01-31 09:30:00-05:00,100167.60009765625,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.0001666910794781984
2023-02-01 09:30:00-05:00,100208.3999633789,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.00040731599522070283
2023-02-02 09:30:00-05:00,100304.89990234375,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0009629925136027673
2023-02-03 09:30:00-05:00,100272.20001220703,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.0003260049127067344
2023-02-04 09:30:00-05:00,100272.20001220703,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-02-05 09:30:00-05:00,100272.20001220703,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-02-06 09:30:00-05:00,100254.20013427734,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.00017951015263950598
2023-02-07 09:30:00-05:00,100245.0,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-9.176806822075445e-05
2023-02-08 09:30:00-05:00,100287.60009765625,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0004249598249912445
2023-02-09 09:30:00-05:00,100300.40008544922,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0001276328058554821
2023-02-10 09:30:00-05:00,100214.89990234375,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.000852441097270118
2023-02-11 09:30:00-05:00,100214.89990234375,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-02-12 09:30:00-05:00,100214.89990234375,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-02-13 09:30:00-05:00,100243.50006103516,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.000285388287762256
2023-02-14 09:30:00-05:00,100268.69995117188,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0002513867744180498
2023-02-15 09:30:00-05:00,100259.80010986328,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-8.875991523704663e-05
2023-02-16 09:30:00-05:00,100244.20013427734,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.00015559551853128184
2023-02-17 09:30:00-05:00,100216.90002441406,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.0002723360536242003
2023-02-18 09:30:00-05:00,100216.90002441406,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-02-19 09:30:00-05:00,100216.90002441406,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-02-20 09:30:00-05:00,100216.90002441406,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
2023-02-21 09:30:00-05:00,100186.90002441406,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.00029935070824071985
2023-02-22 09:30:00-05:00,100151.49993896484,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.0003533404610841506
2023-02-23 09:30:00-05:00,100171.90002441406,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.00020369226084127057
2023-02-24 09:30:00-05:00,100110.50018310547,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",-0.0006129447608923533
2023-02-25 09:30:00-05:00,100110.50018310547,96156.30004882812,"[{'asset': SPY, 'quantity': 10.0}]",0.0
